SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3594;23.0;225.0;0.0;0;0;0;3;22:45;0.0;0.0;0.0;0.0;0.0;0.25;0.25;4.24;58.58;58.33;;;;;;CUTRALE - GSA - E;GSA - E;;BERÇO CUTRALE;3;22:45;3;23:50;4;03:19;6;10:55;6;10:25;6;11:05
2SemDragagem2030;3595;23.0;225.0;0.0;0;0;0;3;21:58;17.0;19.33;15.42;51.75;1.67;0.0;1.67;1.93;56.92;55.25;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 16/17;6;01:45;6;03:15;6;04:25;8;11:15;8;12:10;8;13:15
2SemDragagem2030;3596;23.0;205.0;11.75;0;0;0;3;22:58;1.0;0.0;0.0;1.0;0.0;0.58;0.58;2.14;19.58;19.0;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.1;4;00:00;4;01:15;4;02:38;4;21:00;4;20:50;4;22:00
2SemDragagem2030;3597;23.0;265.0;13.25;0;0;0;3;22:40;1.25;0.08;0.67;2.0;0.0;0.08;0.08;3.77;19.5;19.42;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;4;00:40;4;01:55;4;04:56;4;22:05;4;21:25;4;22:35
2SemDragagem2030;3598;23.0;295.0;13.75;0;0;0;3;22:30;37.08;7.0;16.92;61.0;0.0;0.0;0.0;2.77;24.08;24.08;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;6;11:30;6;12:45;6;14:46;7;13:35;7;12:50;7;14:00
2SemDragagem2030;3599;43.0;339.0;14.0;0;0;0;3;22:15;18.08;5.08;1.25;24.42;6.92;0.58;7.5;4.24;37.67;30.17;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;4;22:40;4;23:55;5;03:24;6;06:50;6;13:35;6;14:45
2SemDragagem2030;3600;23.0;225.0;0.0;0;0;0;3;23:40;0.5;0.75;0.0;1.25;1.75;0.0;1.75;1.25;81.08;79.33;;;;;;TEG;GSA - E;;BERÇO TEG;4;00:55;4;02:05;4;02:35;7;10:10;7;11:10;7;11:55
2SemDragagem2030;3601;23.0;195.0;10.25;0;0;1;3;22:06;0.0;0.08;0.0;0.08;0.0;0.25;0.25;3.95;25.17;24.92;;;;;;TEV;RORO;;BERÇO TEV;3;22:15;3;23:35;4;02:47;5;01:15;5;00:45;5;02:00
2SemDragagem2030;3602;23.0;225.0;0.0;0;0;0;3;23:41;0.25;0.0;0.0;0.25;3.25;0.08;3.33;3.88;69.42;66.08;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 3;4;00:00;4;02:30;4;05:37;6;21:20;6;23:55;7;01:50
2SemDragagem2030;3603;23.0;195.0;11.25;0;0;0;3;19:55;2.0;17.92;0.0;19.92;0.0;0.17;0.17;10.98;96.17;96.0;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 2;4;15:50;4;17:50;5;04:03;8;18:35;8;18:00;8;20:25
2SemDragagem2030;3604;23.0;225.0;13.75;0;0;0;3;19:55;27.67;7.67;9.83;45.17;0.0;0.0;0.0;5.08;109.58;109.58;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 1;5;17:05;5;19:35;5;23:54;10;09:55;10;09:10;10;11:05
2SemDragagem2030;3605;23.0;175.0;9.75;0;0;0;3;20:54;13.25;0.25;0.0;13.5;0.0;0.58;0.58;40.77;132.08;131.5;;;;;;USIMINAS;GSM - E;;BERÇO USIMINAS 3;4;10:25;4;12:25;6;04:26;10;00:40;10;00:30;10;02:45
2SemDragagem2030;3606;36.0;225.0;0.0;0;0;0;4;01:05;0.0;0.5;0.0;0.5;0.0;0.0;0.0;1.07;100.08;100.08;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 3;4;01:35;4;03:45;4;04:04;8;08:35;8;07:50;8;09:50
2SemDragagem2030;3607;23.0;155.0;0.0;0;0;0;4;01:03;0.0;0.75;0.0;0.75;0.0;0.0;0.0;1.16;47.08;47.08;;;;;;AGEO_TERMINAIS;GL;;BERÇO Ageo I;4;01:50;4;03:35;4;03:59;6;03:25;6;02:40;6;04:00
2SemDragagem2030;3608;23.0;255.0;10.25;0;0;0;4;01:02;29.42;12.33;52.83;94.58;0.0;0.83;0.83;1.36;16.92;16.08;;;;;;BTP;CGC;;BERÇO BTP 2;7;23:40;8;01:30;8;02:06;8;18:20;8;18:25;8;20:10
2SemDragagem2030;3609;23.0;295.0;10.25;0;0;0;4;01:04;29.42;12.67;55.17;97.25;0.0;0.0;0.0;2.82;23.5;23.5;;;;;;BTP;CGC;;BERÇO BTP 1;8;02:20;8;04:10;8;06:14;9;04:25;9;03:40;9;05:25
2SemDragagem2030;3610;23.0;305.0;9.25;0;0;0;4;00:00;0.5;12.08;19.25;31.83;0.0;0.0;0.0;2.65;23.33;23.33;;;;;;BTP;CGC;;BERÇO BTP 1;5;07:50;5;09:40;5;11:34;6;09:45;6;09:00;6;10:45
2SemDragagem2030;3611;23.0;165.0;9.75;0;0;0;4;00:02;0.0;0.42;0.0;0.42;0.0;0.17;0.17;4.44;140.5;140.33;;;;;;BUNGE;GSA - I;;BERÇO ARM 30;4;00:30;4;01:25;4;05:06;9;22:30;9;21:55;9;23:05
2SemDragagem2030;3612;23.0;225.0;0.0;0;0;0;4;02:05;41.75;17.92;37.5;97.17;0.0;0.0;0.0;10.86;79.83;79.83;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;8;03:15;8;04:45;8;14:51;11;13:20;;;;;;
2SemDragagem2030;3615;23.0;185.0;0.0;0;0;0;4;05:10;72.58;0.5;41.58;114.67;0.0;0.0;0.0;3.76;43.25;43.25;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;8;23:50;9;01:15;9;04:15;10;21:15;10;20:30;10;21:30
2SemDragagem2030;3616;23.0;225.0;0.0;0;0;0;4;05:09;96.17;16.92;48.08;161.17;0.0;0.0;0.0;1.96;60.83;60.83;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;10;22:20;10;23:45;11;00:57;13;13:20;;;;;;
2SemDragagem2030;3618;23.0;185.0;8.25;0;0;0;4;02:05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.35;15.75;15.75;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;4;02:05;4;03:25;4;05:01;4;19:55;4;19:10;4;20:45
2SemDragagem2030;3619;36.0;225.0;0.0;0;0;0;4;00:01;0.0;0.17;0.0;0.17;0.0;0.0;0.0;9.23;73.25;73.25;;;;;;DPW - CGNC;CGNC;;BERÇO DPW 3;4;00:15;4;01:50;4;10:18;7;03:50;7;03:05;7;04:15
2SemDragagem2030;3620;23.0;225.0;0.0;0;0;0;4;02:06;57.08;0.25;34.75;92.08;0.0;0.0;0.0;2.74;56.0;56.0;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;7;22:15;7;23:40;8;01:39;10;08:25;10;07:40;10;08:40
2SemDragagem2030;3621;23.0;185.0;0.0;0;0;0;4;02:06;49.33;0.0;42.5;91.83;0.0;0.0;0.0;3.53;47.0;47.0;;;;;;GRANEL;GL;;BERÇO IB BC;7;22:00;7;23:45;8;02:31;9;23:30;9;22:45;10;00:05
2SemDragagem2030;3623;23.0;175.0;0.0;0;0;0;4;05:02;72.33;0.83;41.83;115.0;0.0;0.0;0.0;1.39;139.33;139.33;;;;;;NST - GL;GL;;BERÇO ARM 29;9;00:05;9;01:25;9;02:03;14;21:30;;;;;;
2SemDragagem2030;3624;23.0;195.0;8.25;0;0;0;4;01:02;0.0;0.0;1.92;1.92;0.0;0.75;0.75;2.72;20.33;19.58;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.1;4;03:00;4;04:15;4;06:13;5;00:35;5;00:35;5;01:45
2SemDragagem2030;3625;23.0;245.0;9.75;0;0;0;4;02:05;0.0;0.0;0.25;0.25;0.0;2.17;2.17;2.59;20.42;18.25;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.2;4;02:20;4;03:35;4;05:25;4;22:35;5;00:00;5;01:10
2SemDragagem2030;3626;23.0;265.0;9.25;0;0;0;4;02:04;28.0;13.83;52.0;93.83;0.0;0.0;0.0;1.92;17.58;17.58;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;7;23:55;8;01:10;8;02:20;8;19:30;8;18:45;8;19:55
2SemDragagem2030;3627;23.0;315.0;9.75;0;0;0;4;02:04;74.42;0.42;17.58;92.42;2.83;0.0;2.83;2.79;26.92;24.08;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;7;22:30;7;23:45;8;01:47;9;00:35;9;02:40;9;03:50
2SemDragagem2030;3628;43.0;339.0;14.0;0;0;0;4;02:04;96.58;0.0;14.92;111.5;0.0;0.0;0.0;3.11;29.08;29.08;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;8;17:35;8;18:50;8;21:11;10;00:40;;;;;;
2SemDragagem2030;3629;23.0;225.0;0.0;0;0;0;4;00:00;38.0;18.5;27.5;84.0;0.0;0.08;0.08;1.75;79.92;79.83;;;;;;TEG;GSA - E;;BERÇO TEG;7;12:00;7;13:10;7;14:10;10;21:45;10;21:05;10;21:50
