SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;187;32.0;189.99;6.54;0;0;0;5;22:00;0.0;0.0;0.08;0.08;0.0;0.0;0.0;138.83333333333334;5;23:40;12;00:40;BERÇO ARM 39;ADM;BERÇO ARM 39;5;22:05;5;23:05;5;23:05;11;17:55;11;17:55;11;18:35
S012;188;25.0;160.0;7.5;0;0;0;5;22:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;5;23:30;7;22:20;BERÇO AL 03;ULTRACARGO;BERÇO AL 02;5;22:00;5;23:50;5;23:50;7;19:50;7;19:50;7;21:20
S012;189;32.0;228.99;6.6;0;0;0;5;23:12;0.0;0.0;1.42;1.42;0.0;0.0;0.0;86.08333333333333;6;16:55;10;13:17;BERÇO TGG;TGG;BERÇO TGG;6;00:40;6;01:45;6;01:45;9;15:50;9;15:50;9;16:35
S012;190;40.0;275.0;13.3;0;0;0;6;03:43;0.0;0.0;0.0;0.0;0.33;0.25;0.58;14.5;6;04:53;6;22:40;BERÇO TECON 3;SANTOSBR;BERÇO TECON 3;6;03:45;6;04:35;6;04:35;6;19:05;6;19:40;6;20:50
S012;191;32.0;228.62;8.3;0;0;0;6;05:00;0.0;0.0;0.0;0.0;0.0;0.92;0.92;15.25;6;07:30;7;09:38;BERÇO DPW 2;DPW - CGC;BERÇO DPW 1;6;05:00;6;06:15;6;06:15;6;21:30;6;22:25;7;00:00
S012;192;48.0;299.9;11.3;0;0;0;6;06:12;9.75;4.5;1.17;15.42;0.0;1.08;1.08;22.083333333333332;6;17:25;7;15:45;BERÇO BTP 3;BTP;BERÇO BTP 2;6;21:40;6;23:25;6;23:25;7;21:30;7;22:35;8;00:00
S012;193;44.0;323.0;8.6;0;1;0;6;06:30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.083333333333334;6;07:15;6;22:20;BERÇO OUT 1;CONCAIS;BERÇO OUT 2;6;06:30;6;07:45;6;07:45;6;22:50;6;22:50;6;23:45
S012;194;40.04;275.0;12.0;0;0;0;6;07:24;0.0;1.42;0.0;1.42;0.0;0.0;0.0;24.166666666666668;7;14:22;8;16:40;BERÇO DPW 2;DPW - CGC;BERÇO DPW 2;6;08:50;6;10:05;6;10:05;7;10:15;7;10:15;7;11:50
S012;195;19.0;88.8;5.0;0;0;0;6;08:20;0.0;0.0;0.58;0.58;0.0;0.0;0.0;18.833333333333332;6;08:30;7;03:30;BERÇO SAIPEM 1;SAIPEM;BERÇO SAIPEM 1;6;08:55;6;09:45;6;09:45;7;04:35;7;04:35;7;05:05
S012;196;42.0;270.07;10.9;0;0;0;6;10:30;61.5;0.0;1.5;63.0;0.0;1.58;1.58;24.833333333333332;10;18:43;11;21:10;BERÇO BTP 2;BTP;BERÇO BTP 2;9;01:30;9;02:55;9;02:55;10;03:45;10;05:20;10;07:05
S012;197;40.0;299.2;11.2;0;0;0;6;13:00;154.17;0.0;0.25;154.42;0.17;0.5;0.67;35.75;14;13:00;16;07:53;BERÇO DPW 2;DPW - CGC;BERÇO DPW 2;12;23:25;13;00:40;13;00:40;14;12:25;14;13:05;14;14:40
S012;198;32.0;183.2;7.0;0;0;0;6;13:44;130.25;0.0;0.0;130.25;0.0;0.0;0.0;30.166666666666668;13;08:50;14;23:42;BERÇO AL 02;TRANSPETRO;BERÇO AL 01;12;00:00;12;01:50;12;01:50;13;08:00;13;08:00;13;09:30
S012;199;32.0;183.1;10.0;0;0;0;6;16:00;10.5;0.0;0.0;10.5;3.75;0.0;3.75;20.083333333333332;6;17:36;7;22:30;BERÇO DOW;DOW;BERÇO DOW;7;02:30;7;03:10;7;03:10;7;23:15;8;03:00;8;04:00
S012;200;35.0;185.97;8.35;0;0;0;6;17:00;2.42;0.0;0.0;2.42;0.0;0.17;0.17;14.083333333333334;7;05:44;7;23:30;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 3;6;19:25;6;20:15;6;20:15;7;10:20;7;10:30;7;11:40
S012;201;25.0;182.47;7.5;0;0;0;6;17:00;3.25;0.0;1.58;4.83;0.0;1.17;1.17;10.166666666666666;6;17:50;7;10:50;BERÇO TECON 2;SANTOSBR;BERÇO TECON 1.2;6;21:50;6;22:40;6;22:40;7;08:50;7;10:00;7;11:10
S012;202;37.0;255.4;12.9;0;0;0;6;18:00;2.25;1.5;0.0;3.75;0.0;0.0;0.0;19.083333333333332;6;19:38;7;19:05;BERÇO DPW 1;DPW - CGC;BERÇO DPW 1;6;21:45;6;23:00;6;23:00;7;18:05;7;18:05;7;19:40
S012;203;32.0;228.99;7.16;0;0;0;6;19:30;1.25;0.0;1.17;2.42;0.0;0.17;0.17;115.0;7;14:40;12;13:15;BERÇO ARM 38;OUTROS_PONTA;BERÇO ARM 38;6;21:55;6;22:55;6;22:55;11;17:55;11;18:05;11;18:45
S012;204;32.0;228.0;9.7;0;0;0;6;19:42;172.25;0.0;0.0;172.25;0.0;0.42;0.42;88.83333333333333;15;03:05;18;23:00;BERÇO AL 02;OUTROS_ALAMOA;BERÇO AL 02;14;00:00;14;01:30;14;01:30;17;18:20;17;18:45;17;20:35
S012;205;37.0;254.73;10.8;0;0;0;6;23:50;0.0;0.0;0.17;0.17;0.0;0.08;0.08;8.583333333333334;7;01:18;7;19:14;BERÇO TECON 3;SANTOSBR;BERÇO TECON 2;7;00:00;7;00:50;7;00:50;7;09:25;7;09:30;7;10:40
S012;206;27.0;169.37;5.33;0;0;0;7;00:01;0.0;0.0;0.08;0.08;16.83;0.0;16.83;117.75;7;02:00;12;10:46;BERÇO USIMINAS 4;USIMINAS;BERÇO USIMINAS 4;7;00:10;7;02:25;7;02:25;12;00:10;12;17:00;12;18:55
S012;207;32.0;229.0;8.98;0;0;0;7;00:01;0.17;0.0;0.08;0.25;5.33;1.67;7.0;55.75;7;01:00;9;17:20;BERÇO ARM 16/17;TGRAO;BERÇO OUT 2;7;00:20;7;01:35;7;01:35;9;09:20;9;16:20;9;17:15
S012;208;32.0;199.94;7.6;0;0;1;7;06:30;0.0;0.0;0.0;0.0;0.0;0.17;0.17;43.583333333333336;7;09:55;9;08:45;BERÇO TEV;TEV;BERÇO TEV;7;06:30;7;07:45;7;07:45;9;03:20;9;03:30;9;04:25
